[2024-04-28 18:36:28.644] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 107ns
[2024-04-28 18:36:28.644] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 201ns
[2024-04-28 18:36:28.644] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 64ns
[2024-04-28 18:36:28.644] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:28.644] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 90ns
[2024-04-28 18:36:28.644] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:28.644] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 93ns
[2024-04-28 18:36:28.644] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 99ns
[2024-04-28 18:36:28.645] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:28.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 163ns
[2024-04-28 18:36:28.645] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 133ns
[2024-04-28 18:36:28.645] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:28.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 103ns
[2024-04-28 18:36:28.645] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:28.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 227ns
[2024-04-28 18:36:28.645] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 96ns
[2024-04-28 18:36:28.645] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 108ns
[2024-04-28 18:36:28.645] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 105ns
[2024-04-28 18:36:28.645] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 102ns
[2024-04-28 18:36:28.645] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 106ns
[2024-04-28 18:36:28.645] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 97ns
[2024-04-28 18:36:28.646] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 84ns
[2024-04-28 18:36:28.646] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 106ns
[2024-04-28 18:36:28.646] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 81ns
[2024-04-28 18:36:28.646] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 36ns
[2024-04-28 18:36:28.646] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 77ns
[2024-04-28 18:36:28.646] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 57ns
[2024-04-28 18:36:29.644] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:29.644] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:29.644] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:29.644] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 136ns
[2024-04-28 18:36:29.644] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 137ns
[2024-04-28 18:36:29.644] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 198ns
[2024-04-28 18:36:29.644] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 101ns
[2024-04-28 18:36:29.644] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:29.644] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 94ns
[2024-04-28 18:36:29.644] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 102ns
[2024-04-28 18:36:29.644] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:29.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 123ns
[2024-04-28 18:36:29.645] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:29.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 301ns
[2024-04-28 18:36:29.645] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:29.645] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 94ns
[2024-04-28 18:36:29.645] [server] [debug] [0.0.0.0:0] payload size 45 bytes
[2024-04-28 18:36:29.645] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 89ns
[2024-04-28 18:36:29.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 278ns
[2024-04-28 18:36:29.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 145ns
[2024-04-28 18:36:29.645] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 125ns
[2024-04-28 18:36:29.645] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 138ns
[2024-04-28 18:36:29.646] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 136ns
[2024-04-28 18:36:29.646] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 116ns
[2024-04-28 18:36:29.646] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 101ns
[2024-04-28 18:36:29.646] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 89ns
[2024-04-28 18:36:29.646] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 105ns
[2024-04-28 18:36:29.646] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 90ns
[2024-04-28 18:36:29.646] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 99ns
[2024-04-28 18:36:29.647] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 88ns
[2024-04-28 18:36:29.647] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 173ns
